Saya menggunakan AI tools untuk membantu memahami materi kuliah.,AI tools membantu saya menyelesaikan tugas lebih cepat.,AI tools membuat saya lebih mudah menemukan penjelasan konsep.,Saya menggunakan AI tools secara rutin saat belajar mandiri.,AI tools membantu saya merangkum materi kuliah.,Saya menggunakan AI tools untuk mendapatkan ide saat mengerjakan tugas.,AI tools membuat proses belajar saya terasa lebih efisien.,Saya merasa lebih percaya diri belajar dengan bantuan AI tools.,AI tools membantu saya memperbaiki kesalahan dalam tugas atau laporan.,Saya merasa kualitas hasil belajar saya meningkat dengan bantuan AI Tools.,Saya mampu memahami materi kuliah dengan baik.,Saya dapat menyelesaikan tugas tepat waktu.,Saya mampu fokus saat belajar.,Metode belajar saya terasa semakin efektif.,Produktivitas belajar saya meningkat.,Saya dapat meninjau materi dengan lebih terstruktur.,Saya mampu mengatur waktu belajar dengan baik.,Saya mampu mengingat materi pembelajaran dengan lebih baik.,Saya dapat menyelesaikan lebih banyak materi dalam waktu yang sama.,Saya merasa hasil belajar saya meningkat secara keseluruhan.,X_total,Y_total,X_mean,Y_mean
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5.0,5.0
4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,40,41,4.0,4.1
4,5,4,5,5,5,5,5,5,5,4,5,3,5,5,5,5,5,5,4,48,46,4.8,4.6
5,5,5,4,4,5,4,4,4,5,5,5,5,4,4,4,4,5,5,4,45,45,4.5,4.5
5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,50,45,5.0,4.5
5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,48,50,4.8,5.0
4,4,4,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,43,49,4.3,4.9
5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,4,50,44,5.0,4.4
2,3,3,2,3,4,4,3,3,2,3,2,4,3,4,4,4,4,3,3,29,34,2.9,3.4
4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,38,40,3.8,4.0
5,5,4,4,3,4,3,3,3,4,3,4,4,4,3,3,4,4,4,3,38,36,3.8,3.6
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5.0,5.0
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,40,40,4.0,4.0
5,5,5,5,5,5,5,3,3,3,3,5,3,3,3,5,5,3,4,4,44,38,4.4,3.8
5,5,5,5,5,5,5,5,5,5,5,4,2,4,4,4,5,3,3,4,50,38,5.0,3.8
5,5,5,4,4,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5,44,45,4.4,4.5
5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,3,3,4,3,48,43,4.8,4.3
5,5,4,4,5,5,4,4,5,4,4,4,4,5,5,5,5,5,5,4,45,46,4.5,4.6
5,4,4,3,4,3,4,5,4,4,4,4,4,5,5,4,4,4,4,4,40,42,4.0,4.2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5.0,5.0
5,5,5,5,5,5,3,3,4,3,5,4,3,5,3,3,3,4,4,4,43,38,4.3,3.8
5,4,5,5,4,5,4,5,4,4,4,5,5,5,5,4,4,5,4,4,45,45,4.5,4.5
5,4,5,4,5,5,5,5,5,5,5,5,4,4,4,5,4,4,4,4,48,43,4.8,4.3
4,2,5,4,5,5,4,2,4,4,4,4,2,4,4,4,3,4,2,4,39,35,3.9,3.5
4,4,5,4,3,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,42,38,4.2,3.8
5,5,5,5,5,5,4,3,4,3,4,4,3,5,3,3,3,3,3,3,44,34,4.4,3.4
3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,30,40,3.0,4.0
4,4,4,3,4,4,3,3,4,3,4,3,3,3,3,4,3,3,3,3,36,32,3.6,3.2
5,5,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,42,36,4.2,3.6
3,3,3,3,3,3,3,3,3,3,5,4,4,4,5,5,4,4,4,4,30,43,3.0,4.3
5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,47,40,4.7,4.0
4,4,4,3,4,4,4,3,2,3,3,5,5,4,4,3,4,4,3,4,35,39,3.5,3.9
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,50,50,5.0,5.0
4,4,5,4,5,5,5,5,4,4,4,4,4,4,4,5,5,5,4,4,45,43,4.5,4.3
5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,4,4,4,5,50,45,5.0,4.5
